ID_BCT_O,ID_ANPR,DIRECCION,ESQUINA,COLONIA,SECTOR_UPC,DELEGACION,CLASIFICAC,BOTON,ALTAVOZ,C2,DELE_CV,LONGITUDE,LATITUDE,CXGW,CYGW,FASE,UOBJECTID,UID,UDELEGACIO,USECTOR,UNOMBRE,UREGION
"159","0",AV EJE 3 SUR FC DE RIO FRIO,ORIENTE 229,CH REAL DEL MORAL,ABASTO REFORMA,IZTAPALAPA,INCIDENCIA DELICTIVA,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"491395","2144144",-99.081947999999997,19.391456999999999,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"162","0",EJE 5 OTE AV JAVIER ROJO GOMEZ,EJE 4 SUR AV CANAL DE TEZONTLE,LEYES DE REFORMA,ABASTO REFORMA,IZTAPALAPA,INCIDENCIA DELICTIVA,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"492022","2143203",-99.075975999999997,19.382954999999999,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"658","0",10 DE AGOSTO DE 1860,BATALLON DE PASO DE OVEJAS,LEYES DE REFORMA,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"492551","2142443",-99.070933999999994,19.376087999999999,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"659","0",ESCOBILLERA,EMBARCADERO,LOS PASEOS DE CHURUBUSCO,ABASTO REFORMA,IZTAPALAPA,INCIDENCIA DELICTIVA,SIN BOTON,SIN ALTAVOZ,C2 ORIENTE,IZTAPALAPA,"491617","2142982",-99.079830000000001,19.380956000000001,1.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"660","0",IGNACIO COMONFORT,ITURBIDE,BARRIO SAN LUCAS,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"489816","2140615",-99.096967000000006,19.359558000000000,1.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"661","0",BATALLA DE LA LOMA ALTA,10 DE AGOSTO DE 1860,LEYES DE REFORMA 3a SECC,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"492607","2142803",-99.070404999999994,19.379337000000000,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"662","0",PDTE ABELARDO L RODRIGUEZ (LAZARILLO DE TORMES),AV BENITO JUAREZ,PROGRESISTA,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"493058","2140361",-99.066100000000006,19.357274000000000,1.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"664","0",ARTURO MENDEZ,RAFAEL CURIEL,CONSTITUCION DE 1917,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"493053","2139524",-99.066141000000002,19.349710999999999,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"665","0",CTO RIO COLORADO,CTO RIO CARMEN,C H REAL DEL MORAL,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"491324","2144072",-99.082631000000006,19.390806000000001,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
"667","0",ROSARIO CASTELLANOS,VALENTINA TERESHKOVA,U H MARGARITA MAZA DE JUAREZ,ABASTO REFORMA,IZTAPALAPA,EDUCACION,CON BOTON_OP,CON ALTAVOZ_OP,C2 ORIENTE,IZTAPALAPA,"492667","2141835",-99.069827000000004,19.370595000000002,6.5K,"0","0",IZTAPALAPA,IZP-03,ABASTO-REFORMA,"0"
