STV,hora,dia,sector,cantidad
1,00:00-00:59,domingo,ALAMEDA,0.0
10,00:00-00:59,domingo,CENTRO,0.0
10005,00:00-00:59,domingo,ALAMEDA,0.0
10006,00:00-00:59,domingo,CONGRESO,0.0
10007,00:00-00:59,domingo,CENTRO,0.0
10009,00:00-00:59,domingo,CENTRO,0.0
10020,00:00-00:59,domingo,MORELOS,0.0
10032,00:00-00:59,domingo,MORELOS,0.0
10035,00:00-00:59,domingo,ALAMEDA,0.0
10049,00:00-00:59,domingo,ALAMEDA,0.0
10052,00:00-00:59,domingo,MORELOS,0.0
10053,00:00-00:59,domingo,ALAMEDA,0.0
10054,00:00-00:59,domingo,ALAMEDA,0.0
10055,00:00-00:59,domingo,CENTRO,0.0
10103,00:00-00:59,domingo,CENTRO,0.0
10109,00:00-00:59,domingo,ALAMEDA,0.0
10115,00:00-00:59,domingo,ALAMEDA,0.0
10116,00:00-00:59,domingo,CENTRO,0.0
10117,00:00-00:59,domingo,ALAMEDA,0.0
10118,00:00-00:59,domingo,ALAMEDA,0.0
10120,00:00-00:59,domingo,CENTRO,0.0
10121,00:00-00:59,domingo,CENTRO,0.0
10122,00:00-00:59,domingo,ALAMEDA,0.0
10123,00:00-00:59,domingo,ALAMEDA,0.0
10124,00:00-00:59,domingo,ALAMEDA,0.0
10125,00:00-00:59,domingo,ALAMEDA,0.0
10126,00:00-00:59,domingo,CENTRO,0.0
10127,00:00-00:59,domingo,ALAMEDA,0.0
10128,00:00-00:59,domingo,ALAMEDA,0.0
10129,00:00-00:59,domingo,ALAMEDA,0.0
10130,00:00-00:59,domingo,CENTRO,0.0
10132,00:00-00:59,domingo,ALAMEDA,0.0
10133,00:00-00:59,domingo,ALAMEDA,0.0
10135,00:00-00:59,domingo,ALAMEDA,0.0
10136,00:00-00:59,domingo,ALAMEDA,0.0
10137,00:00-00:59,domingo,ALAMEDA,0.0
10142,00:00-00:59,domingo,CENTRO,0.0
10144,00:00-00:59,domingo,ALAMEDA,0.0
10146,00:00-00:59,domingo,CENTRO,0.0
10147,00:00-00:59,domingo,CENTRO,0.03773584902802449
10150,00:00-00:59,domingo,ALAMEDA,0.0
10165,00:00-00:59,domingo,ALAMEDA,0.0
10185,00:00-00:59,domingo,MORELOS,0.0
10210,00:00-00:59,domingo,ALAMEDA,0.0
10222,00:00-00:59,domingo,CENTRO,0.0
10223,00:00-00:59,domingo,MORELOS,0.0
10224,00:00-00:59,domingo,MORELOS,0.0
10225,00:00-00:59,domingo,CENTRO,0.0
10310,00:00-00:59,domingo,ALAMEDA,0.0
10336,00:00-00:59,domingo,CONGRESO,0.0
10416,00:00-00:59,domingo,CONGRESO,0.0
10463,00:00-00:59,domingo,CENTRO,0.0
10464,00:00-00:59,domingo,ALAMEDA,0.0
10465,00:00-00:59,domingo,CENTRO,0.0
10466,00:00-00:59,domingo,ALAMEDA,0.0
10467,00:00-00:59,domingo,CENTRO,0.0
10468,00:00-00:59,domingo,CENTRO,0.0
10469,00:00-00:59,domingo,CENTRO,0.0
10470,00:00-00:59,domingo,ALAMEDA,0.0
10471,00:00-00:59,domingo,CENTRO,0.0
10472,00:00-00:59,domingo,CENTRO,0.0
10473,00:00-00:59,domingo,ALAMEDA,0.0
10475,00:00-00:59,domingo,CONGRESO,0.0
10476,00:00-00:59,domingo,CENTRO,0.0
10477,00:00-00:59,domingo,CENTRO,0.0
10478,00:00-00:59,domingo,CENTRO,0.0
10479,00:00-00:59,domingo,CENTRO,0.0
10480,00:00-00:59,domingo,MORELOS,0.0
10481,00:00-00:59,domingo,CENTRO,0.0
10482,00:00-00:59,domingo,CENTRO,0.0
10483,00:00-00:59,domingo,CENTRO,0.0
10484,00:00-00:59,domingo,CENTRO,0.0
10512,00:00-00:59,domingo,MORELOS,0.0
10531,00:00-00:59,domingo,MORELOS,0.0
10534,00:00-00:59,domingo,MORELOS,0.0
10535,00:00-00:59,domingo,MORELOS,0.0
10536,00:00-00:59,domingo,CENTRO,0.0
10537,00:00-00:59,domingo,MORELOS,0.0
10538,00:00-00:59,domingo,MORELOS,0.0
10539,00:00-00:59,domingo,MORELOS,0.0
10541,00:00-00:59,domingo,MORELOS,0.0
10542,00:00-00:59,domingo,MORELOS,0.0
10543,00:00-00:59,domingo,MORELOS,0.0
10544,00:00-00:59,domingo,MORELOS,0.0
10545,00:00-00:59,domingo,MORELOS,0.0
10546,00:00-00:59,domingo,MORELOS,0.0
10547,00:00-00:59,domingo,MORELOS,0.0
10548,00:00-00:59,domingo,MORELOS,0.0
10549,00:00-00:59,domingo,MORELOS,0.0
10550,00:00-00:59,domingo,MORELOS,0.0
10551,00:00-00:59,domingo,MORELOS,0.0
10552,00:00-00:59,domingo,CENTRO,0.0
10554,00:00-00:59,domingo,MORELOS,0.0
10589,00:00-00:59,domingo,ALAMEDA,0.0
10620,00:00-00:59,domingo,MORELOS,0.0
11,00:00-00:59,domingo,CENTRO,0.0
11782,00:00-00:59,domingo,CONGRESO,0.0
11784,00:00-00:59,domingo,CONGRESO,0.0
11789,00:00-00:59,domingo,CONGRESO,0.0
11790,00:00-00:59,domingo,CENTRO,0.0
11797,00:00-00:59,domingo,CONGRESO,0.0
11801,00:00-00:59,domingo,MORELOS,0.0
11804,00:00-00:59,domingo,CONGRESO,0.0
11809,00:00-00:59,domingo,CONGRESO,0.0
11812,00:00-00:59,domingo,CONGRESO,0.0
11813,00:00-00:59,domingo,CONGRESO,0.0
