id,latitud,longitud,sector,tipo,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C13-EDUCACION,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS
1,19.435283,-99.147152,ALAMEDA,9m,25,0,1,0,0,0,3,0,0,2,1,0,11,0,0,1,0,0,0,0,0,1,0,0,0,409,2,0,2,0,1,3,4,0,1,3,0,0,2,0,0,0
2,19.435098,-99.14582,ALAMEDA,9m,27,0,1,0,0,0,3,0,0,1,1,0,8,0,0,1,0,0,0,0,0,0,1,0,0,239,2,0,1,0,0,4,1,0,0,4,0,0,1,0,0,0
3,19.434573,-99.143858,ALAMEDA,9m,15,0,1,0,0,0,1,0,0,0,1,0,9,1,0,2,0,0,0,1,0,0,1,0,0,239,3,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
4,19.434374,-99.142704,ALAMEDA,9m,16,0,1,0,0,0,1,0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,1,0,0,715,4,0,0,0,0,2,2,0,1,2,0,0,1,0,0,0
5,19.434242,-99.14188,ALAMEDA,9m,13,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,2,0,2,0,0,0,963,5,0,0,0,1,4,2,0,2,3,0,0,2,0,0,0
6,19.433729,-99.146751,ALAMEDA,9m,27,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,507,1,0,0,1,0,2,4,0,2,1,0,0,0,0,0,0
7,19.433091,-99.142696,ALAMEDA,9m,10,0,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,899,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9,19.432311,-99.12703,CENTRO,9m,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,893,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10,19.434369,-99.127634,CENTRO,9m,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,946,0,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0
11,19.427922,-99.129471,CENTRO,9m,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,19.432782,-99.14669,ALAMEDA,9m,10,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,1,0,2,5,0,2,1,0,0,0,0,0,0
48,19.432563,-99.14514,ALAMEDA,9m,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0
66,19.432138,-99.142134,ALAMEDA,9m,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1635,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0
67,19.431952,-99.146324,ALAMEDA,9m,8,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0
