Etiquetas,Sector,Consigna,Long,Lat,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS,C13-CAM,C13-CPARA EL TRABAJO,C13_PREESC,C13_PRIM,C13_SEC,C13_BACH,C13_SUP
10534,MORELOS,26,-99.136881,19.444434,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,0,0,1,1051,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2566,MORELOS,21,-99.132804,19.444939,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6691,MORELOS,21,-99.136777,19.445221,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,373,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0
2560,MORELOS,20,-99.132794,19.44418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,221,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2232,MORELOS,18,-99.131108,19.4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1
10545,MORELOS,18,-99.13428,19.444282,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,431,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2247,MORELOS,17,-99.133739,19.445,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,445,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
6736,MORELOS,16,-99.131269,19.448526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,191,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1
10480,MORELOS,15,-99.1377,19.44447,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,804,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10550,MORELOS,13,-99.132036,19.449761,0,0,0,0,0,0,0,1,2,1,0,3,0,0,1,0,0,0,0,0,2,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
2552,MORELOS,11,-99.132312,19.448988,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,140,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1
2243,MORELOS,8,-99.128203,19.451824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2479,MORELOS,7,-99.136938,19.443861,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1289,0,0,0,0,0,1,1,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0
2549,MORELOS,7,-99.128625,19.449741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2548,MORELOS,6,-99.127225,19.449543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2553,MORELOS,6,-99.130281,19.447218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10549,MORELOS,6,-99.12749,19.448499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2481,MORELOS,5,-99.124828,19.442731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,274,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2554,MORELOS,5,-99.129185,19.447056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2558,MORELOS,5,-99.128929,19.447834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6705,MORELOS,5,-99.135158,19.445159,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,362,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
